Date,flirIrCamera,ir_geotiff,Coverage,,rulemonitor,,,Fullfield,,Notes,
,/data/terraref/sites/ua-mac/raw_data/flirIrCamera,/data/terraref/sites/ua-mac/Level_1/ir_geotiff,,,,,,,,,
2018-05-19,6898,6862,0.995,,6590,0.960,,,,,
2018-05-20,6809,6809,1.000,,6809,1.000,,,,,
2018-05-21,,,,,,,,,,No FLIR in scan log,
2018-05-22,6824,6824,1.000,,6824,1.000,,,,,
2018-05-23,6809,6809,1.000,,6807,1.000,,y,,,
2018-05-24,6804,6804,1.000,,6803,1.000,,y,,,
2018-05-25,6809,5410,0.795,,1280,0.237,,,,3979 zero byte tif files,5259
2018-05-26,,,,,,,,,,No FLIR in scan log,
2018-05-27,,,,,,,,,,No FLIR in scan log,
2018-05-28,,,,,,,,,,No FLIR in scan log,
2018-05-29,,,,,,,,,,Bearing problem,
2018-05-30,,,,,,,,,,Bearing problem,
2018-05-31,,,,,,,,,,Bearing problem,
2018-06-01,,,,,,,,,,No FLIR in scan log,
2018-06-02,4590,4581,0.998,,4588,1.002,,y,,,
2018-06-03,4666,4666,1.000,,4665,1.000,,y,,,
2018-06-04,4666,4649,0.996,,4649,1.000,,y,,,
2018-06-05,76,36,0.474,,21,0.583,,,,No FLIR in scan log,
2018-06-06,4663,4610,0.989,,4606,0.999,,y,,,
2018-06-07,4666,4666,1.000,,4666,1.000,,y,,,
2018-06-08,2371,2178,0.919,,,,,,,,
2018-06-09,4079,3004,0.736,,,,,,,,
2018-06-10,4666,4633,0.993,,,,,,,,
2018-06-11,4666,4666,1.000,,,,,,,,
2018-06-12,4655,4655,1.000,,,,,,,,
2018-06-13,9180,9179,1.000,,,,,,,,
2018-06-14,2371,2371,1.000,,,,,,,,
2018-06-15,8153,7902,0.969,,,,,,,,
2018-06-16,4666,4666,1.000,,,,,,,,
2018-06-17,5521,5519,1.000,,,,,,,,
2018-06-18,6961,6800,0.977,,,,,,,,
2018-06-19,9180,9175,0.999,,,,,,,,
2018-06-20,2371,2371,1.000,,,,,,,,
2018-06-21,6961,6946,0.998,,,,,,,,
2018-06-22,4666,4666,1.000,,,,,,,,
2018-06-23,6961,6803,0.977,,,,,,,,
2018-06-24,11472,11472,1.000,,,,,,,,
2018-06-25,4668,4667,1.000,,,,,,,,
2018-06-26,4590,4590,1.000,,,,,,,,
2018-06-27,2377,2377,1.000,,,,,,,,
2018-06-28,4666,4666,1.000,,,,,,,,
2018-06-29,9180,9179,1.000,,,,,,,,
2018-06-30,11475,11475,1.000,,,,,,,,
2018-07-01,11479,11479,1.000,,,,,,,,
2018-07-02,11475,11475,1.000,,,,,,,,
2018-07-03,10609,10608,1.000,,,,,,,,
2018-07-04,25911,25911,1.000,,,,,,,,
2018-07-05,23806,23806,1.000,,,,,,,,
2018-07-06,4590,4590,1.000,,,,,,,,
2018-07-07,11475,11475,1.000,,,,,,,,
2018-07-08,11475,11475,1.000,,,,,,,,
2018-07-09,4666,4666,1.000,,,,,,,,
2018-07-10,6885,6885,1.000,,,,,,,,
2018-07-11,4666,4666,1.000,,,,,,,,
2018-07-12,6844,6834,0.999,,,,,,,,
2018-07-13,11475,8715,0.759,,,,,,,,
2018-07-14,6961,4540,0.652,,,,,,,,
2018-07-15,4666,4666,1.000,,,,,,,,
2018-07-16,9213,9213,1.000,,,,,,,,
2018-07-17,9180,9180,1.000,,,,,,,,
2018-07-18,6961,6961,1.000,,,,,,,,
2018-07-19,11475,11474,1.000,,,,,,,,
2018-07-20,6961,6959,1.000,,,,,,,,
2018-07-21,,,,,,,,,,No scans,
2018-07-22,,,,,,,,,,No scans,
2018-07-23,11475,11475,1.000,,,,,,,,
2018-07-24,9180,9179,1.000,,,,,,,,
2018-07-25,7539,7539,1.000,,,,,,,,
2018-07-26,4576,4576,1.000,,,,,,,,
2018-07-27,10107,10107,1.000,,,,,,,,
2018-07-28,0,0,,,,,,,,,
2018-07-29,0,0,,,,,,,,,
2018-07-30,,,,,,,,,,,
2018-07-31,,,,,,,,,,,
2018-08-01,,,,,,,,,,,
2018-08-02,,,,,,,,,,,
2018-08-03,,,,,,,,,,,
2018-08-04,,,,,,,,,,,
2018-08-05,,,,,,,,,,,
2018-08-06,,,,,,,,,,,
2018-08-07,,,,,,,,,,,
2018-08-08,,,,,,,,,,,
2018-08-09,,,,,,,,,,,
2018-08-10,,,,,,,,,,,
2018-08-11,,,,,,,,,,,
2018-08-12,,,,,,,,,,,
2018-08-13,,,,,,,,,,,
2018-08-14,,,,,,,,,,,
2018-08-15,,,,,,,,,,,
2018-08-16,,,,,,,,,,,
2018-08-17,,,,,,,,,,,
2018-08-18,,,,,,,,,,,
2018-08-19,107,106,,,,,,,,,
2018-08-20,,,,,,,,,,,
2018-08-21,,,,,,,,,,,
2018-08-22,237,237,,,,,,,,,
2018-08-23,,,,,,,,,,,
2018-08-24,,,,,,,,,,,
2018-08-25,,,,,,,,,,,
2018-08-26,9180,9153,,,,,,,,,
2018-08-27,,,,,,,,,,,
2018-08-28,,,,,,,,,,,
2018-08-29,235,212,,,,,,,,,
2018-08-30,9180,9136,,,,,,,,,
2018-08-31,3699,994,,,,,,,,,
2018-09-01,9529,2441,,,,,,,,,
2018-09-02,9517,2334,,,,,,,,,
2018-09-03,9517,1967,,,,,,,,,
2018-09-04,7695,3787,,,,,,,,,
2018-09-05,9516,6418,,,,,,,,,
2018-09-06,7154,3562,,,,,,,,,
2018-09-07,1310,548,,,,,,,,,
2018-09-08,,,,,,,,,,,
2018-09-09,,,,,,,,,,,